Session_ID,Retrained from:,LR (1e-),Patience,EarlyStop Patience,Epochs,Best epoch,batch_size,img_size,Rotation,V_Flip,Contrast,Gaussian Noise,Speckle Noise,Frame Stacking,BG,MOD Loss,Train,Val No BG,Test No BG,Time
training_session_20240809_175947,,1.00E-05,10,10,200,61,8,350x350,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.997326937,0.778697252,,7696.300313
training_session_20240809_201028,,0.0001,10,10,200,71,8,350x350,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.997758003,0.823638439,,8975.37317
training_session_20240809_224308,,1.00E-05,10,10,200,50,8,350x350,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.997610033,0.750612974,,5859.752527
training_session_20240810_002253,,0.0001,10,10,200,48,8,350x350,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.99747885,0.774613619,,5684.268919
training_session_20240810_015957,,1.00E-05,10,10,200,59,8,350x350,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.997997362,0.765513361,,7574.698443
training_session_20240810_040820,,0.0001,10,10,200,39,8,350x350,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.997592459,0.763019085,,5534.259085
training_session_20240810_054315,,1.00E-05,10,10,200,41,8,350x350,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.99679447,0.689661443,,5001.237507
training_session_20240810_070914,,0.0001,10,10,200,37,8,350x350,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.997604596,0.75268501,,4622.480057
training_session_20240810_082721,,1.00E-05,10,10,200,45,8,350x350,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.997018208,0.777741432,,5899.772034
training_session_20240810_100622,,0.0001,10,10,200,22,8,350x350,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.996966664,0.792548537,,3631.784944
training_session_20240810_110852,,1.00E-05,10,10,200,58,8,350x350,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.998682594,0.717948079,,6246.481895
training_session_20240810_125506,,0.0001,10,10,200,27,8,350x350,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.997375063,0.772393167,,3603.097627
,,,,,,,,,,,,,,,,,,,,
training_session_20240812_133109,,1.00E-05,10,30,200,72,8,350x350,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.997803276,0.804629683,,23353.33561
training_session_20240820_174900,,0.0001,10,20,100,47,16,350x350,True,True,True,True,True,True,False,False,0.9962411686568193,0.7578641772270203,,16074.989837408066
training_session_20240820_180013,,0.0001,10,20,100,58,16,350x350,True,True,True,True,True,True,False,False,0.996616179674444,0.7790474891662598,,18382.3172018528
training_session_20240821_002353,,0.0001,10,20,100,84,16,350x350,True,True,True,True,True,False,True,False,0.9978036510398964,0.8311092257499695,,10941.54671382904
training_session_20240821_113048,,7.331467708754027e-05,10,20,100,29,16,350x350,True,True,True,False,True,False,False,False,0.8442120680622026,0.8530014753341675,,3596.470489025116
training_session_20240821_132938,,7.331467708754027e-05,10,20,30,27,16,350x350,True,True,True,False,True,False,False,False,0.881516857474458,0.851076066493988,,2367.725632429123
training_session_20240827_094154,,7.67e-05,10,25,80,69,16,350x350,True,True,True,False,False,False,True,False,0.8964715627283831,0.8311163187026978,,6696.246730566025
